636	Hansen, Todd	Todd Hansen
637	Harle, Christophe	Christophe Harle
638	Harold, Neil	Neil Harold
639	Harrington, Scott	Scott Harrington
640	Harris, Jeffrey	Jeffrey Harris
641	Hartono, Albert	Albert Hartono
642	Harvey, Joann	Joann Harvey
643	Hauck, Matthias	Matthias Hauck
644	Haupt, James	James Haupt
645	Hauser, Thomas	Thomas Hauser
646	Haynes, Brandon	Brandon Haynes
647	He, Lu	Lu He
648	Healy, Dennis	Dennis Healy
649	Hebert, Louis	Louis Hebert
650	Heckerling, Andrew	Andrew Heckerling
651	Hein, Carl	Carl Hein
652	Hein, Eric R.	Eric R. Hein
653	Heistand, Steve	Steve Heistand
654	Held, James	James Held
655	Helfer, Brian	Brian Helfer
656	Helgemo, Dirk	Dirk Helgemo
657	Hemmeter, Eric	Eric Hemmeter
658	Hendrickson, Bruce	Bruce Hendrickson
659	Hendry, Gilbert	Gilbert Hendry
660	Hendry, Robert	Robert Hendry
661	Henretty, Tom	Tom Henretty
